codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
39115;PTNQX;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711A;P28R;PISTÃO;MONOMOTOR;1202;1202;4;1979;BRASIL;BRASIL;AVIÃO;PARTICULAR;BRIGADEIRO ARARIPE MACEDO;CORRENTINA;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
39155;PTLVI;***;AVIÃO;BEECH AIRCRAFT;C90;BE9L;TURBOÉLICE;BIMOTOR;4377;4377;8;1979;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;PRIVADA;NENHUM;0
39156;PPPTO;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;22500;22500;73;2008;BRASIL;BRASIL;AVIÃO;REGULAR;AFONSO PENA;ADALBERTO MENDES DA SILVA;ARREMETIDA NO AR;REGULAR;LEVE;0
39158;PRLGJ;REGULAR;AVIÃO;BOEING COMPANY;757-225;B752;JATO;BIMOTOR;108862;108862;5;1984;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0
39176;PRMAA;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-232;A320;JATO;BIMOTOR;77000;77000;184;2001;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0
39178;PTMZU;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-232;A320;JATO;BIMOTOR;77000;77000;184;2001;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0
39235;PTWKN;***;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1497;1497;1;1976;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;DESTRUÍDA;1
39275;PTYRE;***;HELICÓPTERO;EUROCOPTER FRANCE;AS 350 BA;***;TURBOEIXO;MONOMOTOR;2100;2100;6;1994;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;CAMPO DE MARTE;CAMPO DE MARTE;CRUZEIRO;PRIVADA;DESTRUÍDA;1
39295;PUFLK;EXPERIMENTAL;ULTRALEVE;***;RV-9;ULAC;PISTÃO;MONOMOTOR;735;735;2;2004;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;EXPERIMENTAL;SUBSTANCIAL;2
39315;PTHLE;***;HELICÓPTERO;HELIBRAS;HB-350B;AS50;TURBOEIXO;MONOMOTOR;1950;1950;6;1981;BRASIL;BRASIL;HELICÓPTERO;TÁXI AÉREO;FORA DE AERODROMO;LÁBREA;CRUZEIRO;TÁXI AÉREO;***;2
