codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;codigo_ocorrencia3;codigo_ocorrencia4;ocorrencia_classificacao;ocorrencia_latitude;ocorrencia_longitude;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_numero;divulgacao_relatorio_publicado;divulgacao_dia_publicacao;total_recomendacoes;total_aeronaves_envolvidas;ocorrencia_saida_pista
40211;40211;40211;40211;40211;INCIDENTE;***;***;RIO DE JANEIRO;RJ;BRASIL;****;03/01/2010;12:00:00;SIM;FINALIZADA;***;NÃO;NULL;0;1;NÃO
40349;40349;40349;40349;40349;INCIDENTE;;;BELÉM;PA;BRASIL;SBBE;03/01/2010;11:05:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40351;40351;40351;40351;40351;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBRJ;03/01/2010;03:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39527;39527;39527;39527;39527;ACIDENTE;-13.1066666667;-55.9930555556;LUCAS DO RIO VERDE;MT;BRASIL;****;04/01/2010;17:30:00;SIM;FINALIZADA;A-539/CENIPA/2018;SIM;2019-10-28;0;1;NÃO
40324;40324;40324;40324;40324;INCIDENTE;;;PELOTAS;RS;BRASIL;SBPK;05/01/2010;19:25:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39807;39807;39807;39807;39807;INCIDENTE;***;***;SALVADOR;BA;BRASIL;****;06/01/2010;17:53:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40215;40215;40215;40215;40215;INCIDENTE;***;***;COARI;AM;BRASIL;SBUY;07/01/2010;18:40:00;SIM;FINALIZADA;;NÃO;NULL;0;1;SIM
39707;39707;39707;39707;39707;INCIDENTE GRAVE;-6.5319444444;-64.3805555556;CANUTAMA;AM;BRASIL;****;09/01/2010;12:30:00;SIM;FINALIZADA;IG-028/CENIPA/2011;SIM;2011-07-21;3;1;NÃO
39156;39156;39156;39156;39156;INCIDENTE GRAVE;-15.2402777778;-59.3541666667;CASCAVEL;PR;BRASIL;SBCA;10/01/2010;23:15:00;SIM;FINALIZADA;I-004/CENIPA/2011;SIM;2011-06-30;2;1;NÃO
39711;39711;39711;39711;39711;INCIDENTE GRAVE;***;***;PARÁ DE MINAS;MG;BRASIL;****;10/01/2010;20:00:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39789;39789;39789;39789;39789;INCIDENTE;;;SÃO PEDRO DO SUL;RS;BRASIL;****;10/01/2010;21:30:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40069;40069;40069;40069;40069;ACIDENTE;-23.5069444444;-46.6341666667;SÃO PAULO;SP;BRASIL;SBMT;10/01/2010;14:50:00;SIM;FINALIZADA;A-121/CENIPA/2012;SIM;2012-11-19;8;1;NÃO
40414;40414;40414;40414;40414;INCIDENTE;;;BRASÍLIA;DF;BRASIL;SBBR;10/01/2010;03:00:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39507;39507;39507;39507;39507;ACIDENTE;-15.5588888889;-54.3047222222;PRIMAVERA DO LESTE;MT;BRASIL;****;11/01/2010;17:00:00;SIM;FINALIZADA;A-016/CENIPA/2011;SIM;2011-06-30;2;1;NÃO
40107;40107;40107;40107;40107;ACIDENTE;-1.4169444444;-51.6338888889;GURUPÁ;PA;BRASIL;SNGU;12/01/2010;14:30:00;SIM;FINALIZADA;A-505/CENIPA/2016;SIM;2016-03-18;0;1;NÃO
39315;39315;39315;39315;39315;ACIDENTE;-6.615;-64.1116666667;CANUTAMA;AM;BRASIL;****;15/01/2010;21:22:00;SIM;FINALIZADA;A-519/CENIPA/2016;SIM;2017-02-08;0;1;NÃO
39809;39809;39809;39809;39809;INCIDENTE;;;SÃO PAULO;SP;BRASIL;****;15/01/2010;15:00:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39810;39810;39810;39810;39810;INCIDENTE;***;***;SALVADOR;BA;BRASIL;****;15/01/2010;18:23:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39828;39828;39828;39828;39828;INCIDENTE;***;***;SANTOS;SP;BRASIL;****;15/01/2010;17:45:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
44575;44575;44575;44575;44575;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBGL;17/01/2010;12:27:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
40310;40310;40310;40310;40310;INCIDENTE;;;CRUZEIRO DO SUL;AC;BRASIL;SBCZ;18/01/2010;19:32:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39320;39320;39320;39320;39320;ACIDENTE;-20.2961111111;-52.7244444444;FAROL;PR;BRASIL;****;19/01/2010;18:30:00;***;FINALIZADA;A-095/CENIPA/2010;SIM;2010-12-06;4;1;NÃO
39851;39851;39851;39851;39851;INCIDENTE;;;PASSO FUNDO;RS;BRASIL;SBPF;19/01/2010;03:00:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40311;40311;40311;40311;40311;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;****;19/01/2010;13:20:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
41577;41577;41577;41577;41577;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;****;19/01/2010;12:16:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39772;39772;39772;39772;39772;INCIDENTE;;;UBERLÂNDIA;MG;BRASIL;****;20/01/2010;18:58:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39847;39847;39847;39847;39847;INCIDENTE;;;SOROCABA;SP;BRASIL;****;20/01/2010;13:10:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39768;39768;39768;39768;39768;INCIDENTE;;;CAMPINAS;SP;BRASIL;****;21/01/2010;20:45:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39321;39321;39321;39321;39321;ACIDENTE;-15.2402777778;-59.3541666667;PONTES E LACERDA;MT;BRASIL;****;23/01/2010;13:00:00;***;FINALIZADA;A-010/CENIPA/2011;SIM;2011-05-18;2;1;NÃO
39709;39709;39709;39709;39709;INCIDENTE GRAVE;-25.4033333333;-49.2336111111;CURITIBA;PR;BRASIL;SBBI;23/01/2010;16:36:00;***;FINALIZADA;IG-029/CENIPA/2011;SIM;2011-07-21;2;1;SIM
39849;39849;39849;39849;39849;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBGL;23/01/2010;03:30:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39323;39323;39323;39323;39323;ACIDENTE;***;***;CASIMIRO DE ABREU;RJ;BRASIL;****;24/01/2010;16:15:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39318;39318;39318;39318;39318;ACIDENTE;-2.6;-51.8441666667;SENADOR JOSÉ PORFÍRIO;PA;BRASIL;****;25/01/2010;16:20:00;***;FINALIZADA;A-122/CENIPA/2012;SIM;2012-11-19;5;1;NÃO
39848;39848;39848;39848;39848;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;25/01/2010;17:05:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39322;39322;39322;39322;39322;ACIDENTE;-23.6988888889;-46.5616666667;SÃO BERNARDO DO CAMPO;SP;BRASIL;****;26/01/2010;13:50:00;SIM;FINALIZADA;A-030/CENIPA/2011;SIM;2011-07-21;2;1;NÃO
39487;39487;39487;39487;39487;INCIDENTE GRAVE;-10.290000;-48.357778;PALMAS;TO;BRASIL;SBPJ;26/01/2010;16:50:00;SIM;FINALIZADA;IG-575/CENIPA/2014;SIM;2014-10-13;0;1;NÃO
39850;39850;39850;39850;39850;INCIDENTE;;;BELÉM;PA;BRASIL;SBJC;26/01/2010;14:30:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39319;39319;39319;39319;39319;ACIDENTE;-23.4125;-47.5583333333;IPERÓ;SP;BRASIL;****;27/01/2010;11:25:00;SIM;FINALIZADA;A-017/CENIPA/2011;SIM;2011-06-30;3;1;NÃO
39627;39627;39627;39627;39627;INCIDENTE;;;FLORIANÓPOLIS;SC;BRASIL;SBFL;27/01/2010;16:15:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
40617;40617;40617;40617;40617;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBGL;27/01/2010;20:06:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39158;39158;39158;39158;39158;INCIDENTE;***;***;BELÉM;PA;BRASIL;****;28/01/2010;16:00:00;SIM;FINALIZADA;NULL;NÃO;NULL;0;1;NÃO
39687;39687;39687;39687;39687;INCIDENTE GRAVE;-26.2563888889;-50.9963888889;PORTO UNIÃO;SC;BRASIL;****;28/01/2010;10:30:00;SIM;FINALIZADA;IG-509/CENIPA/2017;SIM;2018-05-17;1;1;NÃO
39747;39747;39747;39747;39747;INCIDENTE;;;CAIRU;BA;BRASIL;SNCL;31/01/2010;19:47:00;***;NULL;NULL;NÃO;NULL;4;1;NÃO
39787;39787;39787;39787;39787;INCIDENTE;***;***;GOIÂNIA;GO;BRASIL;SBGO;31/01/2010;21:00:00;***;NULL;NULL;NÃO;NULL;0;1;SIM
39748;39748;39748;39748;39748;INCIDENTE;;;CAMBÉ;PR;BRASIL;****;03/02/2010;14:30:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39316;39316;39316;39316;39316;ACIDENTE;-27.1919444444;-49.8313888889;RIO DO OESTE;SC;BRASIL;****;04/02/2010;17:55:00;SIM;FINALIZADA;A-011/CENIPA/2011;SIM;2011-05-18;2;1;NÃO
39155;39155;39155;39155;39155;INCIDENTE;***;***;BELO HORIZONTE;MG;BRASIL;****;05/02/2010;12:55:00;SIM;FINALIZADA;NULL;NÃO;NULL;0;1;NÃO
39176;39176;39176;39176;39176;INCIDENTE;;;SÃO LUÍS;MA;BRASIL;****;05/02/2010;09:30:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
