codigo_ocorrencia1;ocorrencia_tipo;ocorrencia_tipo_categoria;taxonomia_tipo_icao
39115;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL
39155;VAZAMENTO DE COMBUSTÍVEL;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | VAZAMENTO DE COMBUSTÍVEL;SCF-NP
39156;FOGO EM VOO;FOGO/FUMAÇA (SEM IMPACTO) | FOGO EM VOO;F-NI
39158;SUPERAQUECIMENTO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | SUPERAQUECIMENTO;SCF-PP
39176;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39178;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39235;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
39275;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
39295;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
39315;OUTROS;OUTROS;OTHR
39316;POUSO ANTES DA PISTA;POUSO AQUÉM/ALÉM DA PISTA | POUSO ANTES DA PISTA;USOS
39317;POUSO BRUSCO;CONTATO ANORMAL COM A PISTA | POUSO BRUSCO;ARC
39318;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
39319;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL
39320;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
39321;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
39322;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
39323;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
39365;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
39367;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
39385;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA | POUSO SEM TREM;ARC
39386;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
39405;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
39487;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA | POUSO SEM TREM;ARC
