,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_tipo,aeronave_operador_categoria,aeronave_tipo_veiculo
0,40211,INCIDENTE,RJ,****,2010-03-01,12:00:00,TRÁFEGO AÉREO,TÁXI AÉREO,HELICÓPTERO
1,40349,INCIDENTE,PA,SBBE,2010-03-01,11:05:00,COLISÃO COM AVE,REGULAR,AVIÃO
2,40351,INCIDENTE,RJ,SBRJ,2010-03-01,03:00:00,COLISÃO COM AVE,REGULAR,AVIÃO
3,39527,ACIDENTE,MT,****,2010-04-01,17:30:00,OPERAÇÃO A BAIXA ALTITUDE,***,AVIÃO
4,40324,INCIDENTE,RS,SBPK,2010-05-01,19:25:00,OUTROS,REGULAR,AVIÃO
5,39807,INCIDENTE,BA,****,2010-06-01,17:53:00,ESTOURO DE PNEU,INSTRUÇÃO,AVIÃO
6,40215,INCIDENTE,AM,SBUY,2010-07-01,18:40:00,TRÁFEGO AÉREO,REGULAR,AVIÃO
7,39707,INCIDENTE GRAVE,AM,****,2010-09-01,12:30:00,COM TREM DE POUSO,***,AVIÃO
8,39156,INCIDENTE GRAVE,PR,SBCA,2010-10-01,23:15:00,FOGO EM VOO,***,AVIÃO
9,39711,INCIDENTE GRAVE,MG,****,2010-10-01,20:00:00,COM TREM DE POUSO,EXPERIMENTAL,AVIÃO
10,39789,INCIDENTE,RS,****,2010-10-01,21:30:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ESPECIALIZADA,AVIÃO
11,40069,ACIDENTE,SP,SBMT,2010-10-01,14:50:00,PERDA DE CONTROLE NO SOLO,***,HELICÓPTERO
12,40414,INCIDENTE,DF,SBBR,2010-10-01,03:00:00,COLISÃO COM AVE,REGULAR,AVIÃO
13,39507,ACIDENTE,MT,****,2010-11-01,17:00:00,FALHA DO MOTOR EM VOO,***,AVIÃO
14,40107,ACIDENTE,PA,SNGU,2010-12-01,14:30:00,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,***,AVIÃO
15,39315,ACIDENTE,AM,****,2010-01-15,21:22:00,OUTROS,***,HELICÓPTERO
16,39809,INCIDENTE,SP,****,2010-01-15,15:00:00,COLISÃO COM AVE,PARTICULAR,AVIÃO
17,39810,INCIDENTE,BA,****,2010-01-15,18:23:00,ESTOURO DE PNEU,TÁXI AÉREO,AVIÃO
18,39828,INCIDENTE,SP,****,2010-01-15,17:45:00,COLISÃO COM AVE,ADMINISTRAÇÃO DIRETA,HELICÓPTERO
19,44575,INCIDENTE,RJ,SBGL,2010-01-17,12:27:00,OUTROS,REGULAR,AVIÃO
20,40310,INCIDENTE,AC,SBCZ,2010-01-18,19:32:00,TRÁFEGO AÉREO,TÁXI AÉREO,AVIÃO
21,39320,ACIDENTE,PR,****,2010-01-19,18:30:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
22,39851,INCIDENTE,RS,SBPF,2010-01-19,03:00:00,OUTROS,REGULAR,AVIÃO
23,40311,INCIDENTE,RJ,****,2010-01-19,13:20:00,TRÁFEGO AÉREO,TÁXI AÉREO,HELICÓPTERO
24,41577,INCIDENTE,RJ,****,2010-01-19,12:16:00,ESTOURO DE PNEU,PARTICULAR,AVIÃO
25,39772,INCIDENTE,MG,****,2010-01-20,18:58:00,ESTOURO DE PNEU,PARTICULAR,AVIÃO
26,39847,INCIDENTE,SP,****,2010-01-20,13:10:00,COLISÃO COM OBSTÁCULOS NO SOLO,PARTICULAR,AVIÃO
27,39768,INCIDENTE,SP,****,2010-01-21,20:45:00,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,ADMINISTRAÇÃO DIRETA,AVIÃO
28,39321,ACIDENTE,MT,****,2010-01-23,13:00:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
29,39709,INCIDENTE GRAVE,PR,SBBI,2010-01-23,16:36:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,***,AVIÃO
30,39849,INCIDENTE,RJ,SBGL,2010-01-23,03:30:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,REGULAR,AVIÃO
31,39323,ACIDENTE,RJ,****,2010-01-24,16:15:00,PERDA DE CONTROLE EM VOO,EXPERIMENTAL,ULTRALEVE
32,39318,ACIDENTE,PA,****,2010-01-25,16:20:00,FALHA DO MOTOR EM VOO,***,AVIÃO
33,39848,INCIDENTE,SP,SBGR,2010-01-25,17:05:00,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,REGULAR,AVIÃO
34,39322,ACIDENTE,SP,****,2010-01-26,13:50:00,PERDA DE CONTROLE EM VOO,***,HELICÓPTERO
35,39487,INCIDENTE GRAVE,TO,SBPJ,2010-01-26,16:50:00,POUSO SEM TREM,***,AVIÃO
36,39850,INCIDENTE,PA,SBJC,2010-01-26,14:30:00,COM TREM DE POUSO,INSTRUÇÃO,AVIÃO
37,39319,ACIDENTE,SP,****,2010-01-27,11:25:00,PANE SECA,***,AVIÃO
38,39627,INCIDENTE,SC,SBFL,2010-01-27,16:15:00,F.O.D.,REGULAR,AVIÃO
39,40617,INCIDENTE,RJ,SBGL,2010-01-27,20:06:00,COLISÃO COM AVE,REGULAR,AVIÃO
40,39158,INCIDENTE,PA,****,2010-01-28,16:00:00,SUPERAQUECIMENTO,REGULAR,AVIÃO
41,39687,INCIDENTE GRAVE,SC,****,2010-01-28,10:30:00,FALHA DO MOTOR EM VOO,***,AVIÃO
42,39747,INCIDENTE,BA,SNCL,2010-01-31,19:47:00,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,TÁXI AÉREO,AVIÃO
43,39787,INCIDENTE,GO,SBGO,2010-01-31,21:00:00,PERDA DE CONTROLE NO SOLO,INSTRUÇÃO,AVIÃO
44,39748,INCIDENTE,PR,****,2010-03-02,14:30:00,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,ESPECIALIZADA,AVIÃO
45,39316,ACIDENTE,SC,****,2010-04-02,17:55:00,POUSO ANTES DA PISTA,***,AVIÃO
46,39155,INCIDENTE,MG,****,2010-05-02,12:55:00,VAZAMENTO DE COMBUSTÍVEL,***,AVIÃO
47,39176,INCIDENTE,MA,****,2010-05-02,09:30:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,REGULAR,AVIÃO
48,39235,ACIDENTE,GO,****,2010-06-02,17:20:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
49,39295,ACIDENTE,RJ,****,2010-06-02,21:09:00,PERDA DE CONTROLE EM VOO,EXPERIMENTAL,ULTRALEVE
50,40207,INCIDENTE,AC,SBCZ,2010-06-02,22:30:00,TRÁFEGO AÉREO,TÁXI AÉREO,AVIÃO
51,39115,ACIDENTE,BA,SNTY,2010-07-02,17:40:00,PANE SECA,***,AVIÃO
52,39367,INCIDENTE,SP,SBSR,2010-07-02,22:59:00,PERDA DE CONTROLE NO SOLO,INSTRUÇÃO,AVIÃO
53,39405,ACIDENTE,MT,****,2010-07-02,11:30:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
54,40290,INCIDENTE,ES,SBVT,2010-07-02,02:09:00,OUTROS,REGULAR,AVIÃO
55,39178,INCIDENTE,SP,****,2010-08-02,12:33:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,REGULAR,AVIÃO
56,39972,INCIDENTE,MG,SBPC,2010-08-02,13:55:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PARTICULAR,AVIÃO
57,39969,INCIDENTE,BA,SBSV,2010-09-02,23:50:00,FALHA DO MOTOR EM VOO,***,AVIÃO
58,39275,ACIDENTE,SP,****,2010-10-02,09:03:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,***,HELICÓPTERO
59,39967,INCIDENTE,BA,****,2010-11-02,15:01:00,FALHA DO MOTOR EM VOO,TÁXI AÉREO,HELICÓPTERO
60,39365,INCIDENTE,GO,****,2010-12-02,16:48:00,COLISÃO COM AVE,REGULAR,AVIÃO
61,41377,ACIDENTE,SP,****,2010-02-14,17:30:00,POUSO BRUSCO,***,HELICÓPTERO
62,39930,INCIDENTE GRAVE,PR,SBCT,2010-02-16,16:25:00,PROBLEMAS FISIOLÓGICOS,***,AVIÃO
63,39992,ACIDENTE,SP,SBMT,2010-02-17,20:07:00,EXCURSÃO DE PISTA,***,AVIÃO
64,39386,INCIDENTE,SP,****,2010-02-18,10:10:00,FALHA DO MOTOR EM VOO,REGULAR,AVIÃO
65,40325,INCIDENTE GRAVE,PE,****,2010-02-19,10:20:00,POUSO EM LOCAL NÃO PREVISTO,***,AVIÃO
66,39385,INCIDENTE GRAVE,DF,SBBR,2010-02-21,17:00:00,POUSO SEM TREM,***,AVIÃO
67,39988,INCIDENTE,PR,SBBI,2010-02-22,16:00:00,ESTOURO DE PNEU,INSTRUÇÃO,AVIÃO
68,40318,INCIDENTE,MG,****,2010-02-22,13:47:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,EXPERIMENTAL,ULTRALEVE
69,39727,INCIDENTE GRAVE,MT,SBCY,2010-02-23,19:42:00,COM TREM DE POUSO,***,AVIÃO
70,39317,ACIDENTE,GO,SWLC,2010-02-24,13:00:00,POUSO BRUSCO,***,AVIÃO
71,39987,INCIDENTE,RJ,SBJR,2010-02-24,19:37:00,ESTOURO DE PNEU,ESPECIALIZADA,AVIÃO
72,41181,INCIDENTE,PR,SBCA,2010-02-25,11:17:00,FALHA DO MOTOR EM VOO,REGULAR,AVIÃO
73,39933,ACIDENTE,MG,****,2010-02-26,11:19:00,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,***,AVIÃO
74,40296,INCIDENTE,PR,****,2010-02-26,22:32:00,FALHA DO MOTOR EM VOO,PARTICULAR,AVIÃO
75,40316,INCIDENTE GRAVE,MG,****,2010-02-26,14:40:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,***,HELICÓPTERO
76,40331,INCIDENTE,SP,****,2010-02-28,09:00:00,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,TÁXI AÉREO,AVIÃO
77,40314,INCIDENTE,SP,****,2010-04-03,23:50:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,REGULAR,AVIÃO
78,39916,INCIDENTE GRAVE,AM,SBEG,2010-07-03,19:35:00,ESTOURO DE PNEU,***,AVIÃO
79,39910,INCIDENTE,SP,SBGR,2010-08-03,00:49:00,COLISÃO COM OBSTÁCULOS NO SOLO,REGULAR,AVIÃO
80,39887,ACIDENTE,MG,SBPR,2010-09-03,17:45:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,***,AVIÃO
81,39914,INCIDENTE,PR,SBLO,2010-09-03,21:00:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INSTRUÇÃO,AVIÃO
82,40312,INCIDENTE,RJ,****,2010-09-03,19:18:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TÁXI AÉREO,HELICÓPTERO
83,39913,INCIDENTE GRAVE,AC,SBRB,2010-10-03,06:17:00,COM PARA-BRISAS / JANELA / PORTA,***,AVIÃO
84,39913,INCIDENTE GRAVE,AC,SBRB,2010-10-03,06:17:00,EXCURSÃO DE PISTA,***,AVIÃO
85,40150,INCIDENTE GRAVE,RS,SBSM,2010-10-03,17:20:00,COM TREM DE POUSO,***,AVIÃO
86,40273,INCIDENTE,AC,SBRB,2010-10-03,14:30:00,COM PARA-BRISAS / JANELA / PORTA,***,AVIÃO
87,39993,INCIDENTE GRAVE,PR,SBLO,2010-11-03,12:30:00,FALHA DO MOTOR EM VOO,***,AVIÃO
88,41986,INCIDENTE,SP,SBGR,2010-11-03,03:00:00,COLISÃO COM AVE,REGULAR,AVIÃO
89,40260,INCIDENTE,MG,****,2010-12-03,18:10:00,COLISÃO COM AVE,ADMINISTRAÇÃO DIRETA,HELICÓPTERO
90,41988,INCIDENTE,PR,SBCT,2010-12-03,03:00:00,COLISÃO COM AVE,REGULAR,AVIÃO
91,40027,INCIDENTE,SC,SSBL,2010-03-15,21:05:00,PERDA DE CONTROLE NO SOLO,INSTRUÇÃO,AVIÃO
92,40320,INCIDENTE,SP,SBGR,2010-03-15,09:57:00,COM TREM DE POUSO,REGULAR,AVIÃO
93,40322,INCIDENTE,PA,SBJC,2010-03-15,18:15:00,COM TREM DE POUSO,TÁXI AÉREO,AVIÃO
94,40307,INCIDENTE,PA,SBJC,2010-03-16,20:00:00,ESTOURO DE PNEU,INSTRUÇÃO,AVIÃO
95,40168,INCIDENTE,MG,SBMK,2010-03-17,01:34:00,FALHA DO MOTOR EM VOO,PARTICULAR,AVIÃO
96,40329,INCIDENTE,SP,SBSP,2010-03-18,12:10:00,ESTOURO DE PNEU,TÁXI AÉREO,AVIÃO
97,41998,INCIDENTE,MG,SBCF,2010-03-18,13:37:00,COLISÃO COM AVE,REGULAR,AVIÃO
98,41999,INCIDENTE,SP,SBGR,2010-03-18,03:00:00,COLISÃO COM AVE,REGULAR,AVIÃO
99,40088,ACIDENTE,RR,****,2010-03-19,13:10:00,POUSO LONGO,***,AVIÃO
100,40148,ACIDENTE,MS,****,2010-03-19,19:30:00,PANE SECA,***,AVIÃO
101,40170,INCIDENTE,AM,SBEG,2010-03-20,11:00:00,ESTOURO DE PNEU,REGULAR,AVIÃO
102,40210,INCIDENTE,RJ,SBJR,2010-03-20,20:02:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PARTICULAR,AVIÃO
103,40212,INCIDENTE,MG,SBUL,2010-03-20,12:14:00,FALHA DO MOTOR NO SOLO,EXPERIMENTAL,AVIÃO
104,40332,INCIDENTE,RJ,****,2010-03-20,21:58:00,TRÁFEGO AÉREO,TÁXI AÉREO,HELICÓPTERO
105,40149,ACIDENTE,GO,SWUZ,2010-03-21,20:45:00,FALHA DO MOTOR EM VOO,***,AVIÃO
106,40209,INCIDENTE,RJ,SBJR,2010-03-21,13:46:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INSTRUÇÃO,AVIÃO
107,41939,INCIDENTE,MG,SBCF,2010-03-22,03:00:00,COLISÃO COM AVE,REGULAR,AVIÃO
108,40330,INCIDENTE,RJ,****,2010-03-24,11:35:00,OUTROS,***,AVIÃO
109,42781,INCIDENTE,SP,SBGR,2010-03-25,03:00:00,COLISÃO COM AVE,REGULAR,AVIÃO
110,40087,ACIDENTE,GO,SWNS,2010-03-26,10:45:00,FALHA DO MOTOR EM VOO,***,AVIÃO
111,40089,ACIDENTE,MT,****,2010-03-28,15:10:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
112,40827,INCIDENTE,SP,****,2010-03-30,20:45:00,TRÁFEGO AÉREO,REGULAR,AVIÃO
113,40287,INCIDENTE,SC,****,2010-03-31,13:00:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INSTRUÇÃO,AVIÃO
114,40326,INCIDENTE,PE,****,2010-03-31,15:20:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PARTICULAR,AVIÃO
115,40288,INCIDENTE,CE,SBFZ,2010-01-04,13:16:00,COLISÃO COM AVE,REGULAR,AVIÃO
116,40275,INCIDENTE,DF,SBBR,2010-02-04,18:15:00,OUTROS,PARTICULAR,AVIÃO
117,40291,INCIDENTE,MG,SBCF,2010-03-04,20:25:00,FALHA DO MOTOR EM VOO,REGULAR,AVIÃO
118,40251,INCIDENTE,SC,****,2010-04-04,17:00:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ADMINISTRAÇÃO DIRETA,HELICÓPTERO
119,40267,INCIDENTE GRAVE,BA,SNVR,2010-04-04,11:00:00,FALHA DO MOTOR EM VOO,***,AVIÃO
120,40190,INCIDENTE,RJ,SBGL,2010-06-04,02:35:00,OUTROS,REGULAR,AVIÃO
121,40171,ACIDENTE,TO,SBPN,2010-07-04,18:45:00,FALHA DO MOTOR EM VOO,***,AVIÃO
122,40269,INCIDENTE GRAVE,GO,SWNS,2010-07-04,19:30:00,COM TREM DE POUSO,***,AVIÃO
123,40269,INCIDENTE GRAVE,GO,SWNS,2010-07-04,19:30:00,EXCURSÃO DE PISTA,***,AVIÃO
124,40147,ACIDENTE,PR,SSUV,2010-08-04,14:20:00,EXCURSÃO DE PISTA,***,AVIÃO
125,40147,ACIDENTE,PR,SSUV,2010-08-04,14:20:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,***,AVIÃO
126,40250,ACIDENTE,GO,****,2010-08-04,20:00:00,PERDA DE CONTROLE EM VOO,EXPERIMENTAL,AVIÃO
127,40292,INCIDENTE,SP,SBKP,2010-08-04,20:30:00,FALHA DO MOTOR EM VOO,REGULAR,AVIÃO
128,40213,INCIDENTE GRAVE,GO,SBNV,2010-09-04,21:00:00,COM TREM DE POUSO,***,AVIÃO
129,40295,INCIDENTE,AC,SBRB,2010-11-04,19:20:00,OUTROS,REGULAR,AVIÃO
