codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
39115;095/2011;2011-07-21;2011-08-01;2015-12-21;Revisar os requisitos de experiência recente para a revalidação de habilitação de aviões classe monomotores terrestres, visando assegurar-se de que são adequados para pilotos com baixo número de horas de voo durante dois ou mais anos seguidos.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39115;096/2011;2011-07-21;2011-08-01;2011-09-16;Divulgar o presente relatório final aos operadores privados, visando elevar o alerta situacional quanto ao cálculo e gerenciamento do combustível.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39156;063/2011;2011-06-30;2011-08-01;2011-09-12;Divulgar este Relatório aos operadores de aeronave ATR-72-212A, alertando para a adoção dos procedimentos previstos no Manual de Manutenção do Motor para a instalação dos bicos injetores de combustível.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39156;064/2011;2011-06-30;2011-08-01;2014-04-16;Acompanhar junto à autoridade primária de certificação do motor o estudo de projeto do fabricante para remover o anel de vedação, visando aumentar a possibilidade de detectar uma instalação inadequada de bicos injetores antes do retorno do motor ao serviço.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39235;205/2011;2011-08-29;2011-09-29;2012-11-06;Realizar uma vistoria de segurança de voo na Aero Agrícola Rio Verde, a fim de verificar as suas condições operacionais.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39235;206/D/11;2011-08-29;2011-08-29;NULL;Divulgar este Relatório Final, enfatizando a possibilidade de instalação inadequada dos bicos injetores e suas consequências.;CUMPRIDA;SERIPA-6;SEXTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39235;207/2011;2011-08-29;2011-08-29;NULL;Reforçar junto aos seus mecânicos a necessidade do fiel cumprimento dos procedimentos de manutenção de acordo com as ordens técnicas.;CUMPRIDA;SERIPA-6;SEXTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39275;A-009/CENIPA/2014 – 01;2016-04-22;2016-05-17;2016-07-15;Avaliar a necessidade de criar um regulamento específico, que estabeleça critérios para obtenção de um Certificado de Operador Aéreo (COA) para empresas que exploram comercialmente os serviços de aeroreportagem, aerocinematografia, aerofotografia e outros previstos no RBHA 91, de maneira similar ao que já ocorre com o Serviço Aéreo Especializado Aeroagrícola.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39275;A-009/CENIPA/2014 – 02;2016-04-22;2016-05-17;2017-05-24;Atuar, junto às oficinas que realizam a montagem do garfo em aeronaves AS 350, de modo a certificar-se que seus mecânicos sejam reciclados no tocante a esse tipo de serviço, bem como, sejam alertados da importância;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39275;A-009/CENIPA/2014 – 03;2016-04-22;2016-05-17;2017-03-16;Atuar, junto às oficinas que realizam a montagem do garfo em aeronaves AS 350, de modo a certificar-se que seus inspetores sejam alertados da importância do acompanhamento dos serviços, principalmente nas fases mais críticas e naquelas que afetam diretamente a aeronavegabilidade das aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
